Original Name,Matched Unique Name,Catalog Number,URL,Availability
Ares Fotel gabinetowy skóra naturalna 2 kolory,Ares Mesh,S569,http://old.unique-meble.pl/oferta/meble-biurowe/fotele-i-krzesla/ares-mesh.html,
ASOS Biała Rama Fotel Ergonomiczny,Asos,986,http://old.unique-meble.pl/oferta/meble-biurowe/fotele-i-krzesla/asos.html,
ICE Fotel Ergonomiczny,Alice,ALICE,http://old.unique-meble.pl/oferta/meble-biurowe/fotele-i-krzesla/alice.html,
PATRON fotel biurowy,Patron,CM-K019AS,http://old.unique-meble.pl/oferta/meble-biurowe/fotele-i-krzesla/patron.html,Brak
STOPKI NISKIE CHROMOWANE,Stopki nylonowe CT-06,CT-06,http://old.unique-meble.pl/oferta/meble-biurowe/akcesoria/stopki-nylonowe-ct-06.html,Jest na magazynie
STOPKI NYLONOWE,Stopki nylonowe CT-06,CT-06,http://old.unique-meble.pl/oferta/meble-biurowe/akcesoria/stopki-nylonowe-ct-06.html,Jest na magazynie
Task fotel biurowy ergonomiczny,Task,MY02-2H,http://old.unique-meble.pl/oferta/meble-biurowe/fotele-i-krzesla/task.html,Jest na magazynie
